ScreenType,ModelName,Quantity,Date
iPhone Touch,iPhone 11,25,2024-01-15
iPhone Touch,iPhone 12,30,2024-01-15
iPhone Touch,iPhone 13,20,2024-01-15
iPhone Touch,iPhone 14,15,2024-01-15
iPhone Touch,iPhone 15,10,2024-01-15
Huawei/Honor Touch,P30 Lite,20,2024-01-15
Huawei/Honor Touch,P40 Pro,18,2024-01-15
Huawei/Honor Touch,Nova 9,12,2024-01-15
Oppo Touch,A53,25,2024-01-15
Oppo Touch,Reno 6,22,2024-01-15
Vivo Touch,V20,15,2024-01-15
Vivo Touch,Y51,18,2024-01-15
Redmi Touch,Note 9,35,2024-01-15
Redmi Touch,Note 10 Pro,28,2024-01-15
Tecno/Infinix Touch,Tecno Spark 7,20,2024-01-15
Tecno/Infinix Touch,Infinix Note 10,25,2024-01-15
